"","...1","url","length_url","length_hostname","ip","nb_dots","nb_hyphens","nb_at","nb_qm","nb_and","nb_or","nb_eq","nb_underscore","nb_tilde","nb_percent","nb_slash","nb_star","nb_colon","nb_comma","nb_semicolumn","nb_dollar","nb_space","nb_www","nb_com","nb_dslash","http_in_path","https_token","ratio_digits_url","ratio_digits_host","punycode","port","tld_in_path","tld_in_subdomain","abnormal_subdomain","nb_subdomains","prefix_suffix","random_domain","shortening_service","path_extension","nb_redirection","nb_external_redirection","length_words_raw","char_repeat","shortest_words_raw","shortest_word_host","shortest_word_path","longest_words_raw","longest_word_host","longest_word_path","avg_words_raw","avg_word_host","avg_word_path","phish_hints","domain_in_brand","brand_in_subdomain","brand_in_path","suspecious_tld","statistical_report","nb_hyperlinks","ratio_intHyperlinks","ratio_extHyperlinks","ratio_nullHyperlinks","nb_extCSS","ratio_intRedirection","ratio_extRedirection","ratio_intErrors","ratio_extErrors","login_form","external_favicon","links_in_tags","submit_email","ratio_intMedia","ratio_extMedia","sfh","iframe","popup_window","safe_anchor","onmouseover","right_clic","empty_title","domain_in_title","domain_with_copyright","whois_registered_domain","domain_registration_length","domain_age","web_traffic","dns_record","google_index","page_rank","status"
"1",491,"http://javascript.info/date",27,15,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,4,10,4,10,10,4,7,10,4,0,0,0,0,0,0,164,0.835365854,0.164634146,0,0,0,0,0,0,0,0,91.66666667,0,100,0,0,0,0,80.15267176,0,0,0,1,1,0,791,6879,8580,0,0,5,0
"2",3721,"http://paii.com.co/.de",22,11,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,1,2,4,2,4,4,2,3,4,2,0,0,0,0,0,0,58,0.844827586,0.155172414,0,0,0,0.222222222,0,0.222222222,0,0,75,0,95.83333333,4.166666667,0,0,0,58.82352941,0,0,0,0,1,0,276,819,4514903,0,1,0,1
"3",5580,"http://www.azurespeed.com/",26,18,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,4,3,3,0,10,10,0,6.5,6.5,0,0,0,0,0,0,0,12,0.833333333,0.166666667,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,147,2406,297796,0,0,4,0
"4",1608,"http://t-loves.narod.ru",23,16,0,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,1,1,0,5,5,0,3.666666667,3.666666667,0,0,0,0,0,0,0,196,0.984693878,0.015306122,0,0,0,1.333333333,0,0,0,0,100,0,95.45454545,4.545454545,0,0,0,33.33333333,0,0,0,1,1,0,159,7533,333891,0,0,5,0
"5",1462,"https://msdn.microsoft.com/en-us/library/windows/desktop/bb288384(v=vs.85).aspx",79,18,1,4,1,0,0,0,0,1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0.101265823,0,0,0,0,0,0,3,1,0,1,0,1,0,11,2,2,4,2,10,9,10,5.181818182,6.5,4.888888889,0,1,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,282,10677,23,0,1,8,0
"6",7591,"https://en.m.wikipedia.org/wiki/Packet_sniffing",47,18,0,3,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,1,1,1,4,9,9,8,5,4,6,0,1,0,0,0,0,180,0.944444444,0.055555556,0,0,0,0.1,0,0.1,0,0,100,0,100,0,0,0,0,65.51724138,0,0,0,0,0,0,905,7130,12,0,1,7,0
"7",9939,"http://support-appleld.com.secureupdate.duilawyeryork.com/ap/a59720af1aca758/?cmd=_update&dispatch=a59720af1aca758ba&locale=_jp",127,50,1,4,1,0,1,2,0,3,2,0,0,5,0,1,0,0,0,0,0,1,0,0,1,0.141732283,0,0,0,0,1,0,3,1,0,0,0,0,0,13,2,2,3,2,17,13,17,7.769230769,8.4,7.375,0,0,0,0,0,0,51,1,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,0,0,1,1,0,25,3992,5707171,0,1,0,1
"8",4440,"http://www.csus.edu/indiv/s/schaefer/presentations/ch09.pdf",59,12,0,3,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,1,0.033898305,0,0,0,0,0,0,3,0,0,0,0,1,0,8,3,1,3,1,13,4,13,5.125,3.5,5.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,11271,25936,0,0,5,0
"9",7439,"http://joshtobye.com/3.mtb.com/www3.mtb.com/?signin=@userid&session_id=skjdfsd87ffsdf87sdfsdhfdf78sdfgysidf87sdf3d4b1030caea831b0e06bd749",137,13,1,5,0,1,1,1,0,2,1,0,0,5,0,1,0,0,0,0,1,2,0,0,1,0.182481752,0,0,0,1,0,0,3,0,0,0,0,0,0,12,5,1,9,1,66,9,66,9.416666667,9,9.454545455,1,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,0,333,31,0,0,1,0,1
"10",6287,"http://email.m-aut.ru/cn/dhl/dhl/w51kl6qmcn1d6j96euuzihsn73dce75d92181ca956e737b3cb66db98.php",93,14,1,3,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0.290322581,0,0,0,0,0,0,3,1,0,0,0,0,0,8,2,1,1,2,56,5,56,9.5,3,13.4,0,0,0,0,0,0,10,0.6,0.4,0,0,0,0.25,0,0,0,1,50,0,100,0,0,0,0,50,0,0,0,1,0,0,303,62,0,0,1,0,1
"11",7082,"https://www.cleverfiles.com/memory-card-recovery-mac.html",57,19,0,3,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,3,3,3,3,11,11,8,5.571428571,7,5,0,0,0,0,0,0,280,0.989285714,0.010714286,0,0,0,0,0,0.333333333,0,0,100,0,100,0,0,0,0,90.625,0,0,0,1,1,0,457,3926,12829,0,0,4,0
"12",3402,"http://gword.roverpost.com/signin.php",37,19,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,4,0,3,5,3,9,9,6,5.75,7,4.5,1,0,0,0,0,0,13,0.923076923,0.076923077,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,1,0,0,365,4382,378751,0,1,3,1
"13",930,"http://vbf9iuherwiu.wl.r.appspot.com/c:/users/user/downloads",60,29,0,4,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,1,0.016666667,0.034482759,0,0,0,0,0,3,0,0,1,0,0,0,8,1,1,1,1,12,12,9,5.125,5.5,4.75,0,0,0,0,0,0,21,0.19047619,0.80952381,0,1,0,0.176470588,0,0,0,1,0,0,20,80,0,0,0,25,0,0,0,1,1,0,228,5616,0,0,1,5,1
"14",9752,"https://www.tfo.com.au/",23,14,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,3,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,79,0.556962025,0.443037975,0,4,0,0.228571429,0,0,0,1,31.25,0,85.71428571,14.28571429,0,0,0,60,0,0,0,1,0,1,0,-1,439401,0,0,3,0
"15",5645,"https://ymecanaw.files.wordpress.com/2015/06/noble-eightfold-path-pdf.pdf",73,28,0,4,3,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0.082191781,0,0,0,0,0,0,3,0,0,0,0,0,0,10,1,2,5,2,9,9,9,5.2,7.333333333,4.285714286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,590,7445,381,0,1,8,0
"16",7519,"http://www.techrepublic.com/article/understanding-the-differences-between-client-server-and-peer-to-peer-networks/",114,20,0,2,10,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,14,7,2,3,2,13,12,13,6.357142857,7.5,6.166666667,0,0,0,0,0,0,76,0.210526316,0.789473684,0,5,0,0.133333333,0,0.033333333,0,1,0,0,45.45454545,54.54545455,0,0,0,20,0,0,0,0,1,0,485,7915,2460,0,0,6,0
"17",7560,"http://www.limbonganmaju.com/management/administrative/processing.html",70,21,0,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,4,3,3,4,14,13,14,9,8,9.5,1,0,0,0,0,0,2,0.5,0.5,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,0,335,3317,0,0,1,2,1
"18",1646,"http://shadetreetechnology.com/V4/validation/d8adbbc08a3e577a11abca7c8263edc2",77,23,1,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0.207792208,0,0,0,0,0,0,1,0,0,0,0,1,0,4,4,2,19,2,32,19,32,15.75,19,14.66666667,0,0,0,0,0,0,30,0.966666667,0.033333333,0,0,0,0,0,0,0,0,100,0,80,20,0,0,0,100,0,0,0,1,0,0,76,5767,0,0,1,2,1
"19",6919,"https://www.uklonghaul.com/",27,18,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,10,10,0,6.5,6.5,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,1,0,0,44,1416,0,0,0,2,0
"20",10214,"http://www.luckycoupon.online//readme.html",42,22,0,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,3,3,4,11,11,6,6,7,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,198,532,0,0,1,0,1
"21",5787,"https://www.scribd.com/doc/222372434/221127823-Electric-Power-Generation-Transmission-and-DistriElectric-Power-Generation-Transmission-and-Distributionbution",157,14,1,2,11,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0.114649682,0,0,0,0,0,0,2,0,1,0,0,0,0,16,10,3,3,3,18,6,18,8.125,4.5,8.642857143,0,0,0,0,0,0,63,0.698412698,0.301587302,0,1,0,0,0,0,0,1,20,0,100,0,0,0,0,91.30434783,0,0,0,1,1,0,62,5051,283,0,0,7,0
"22",1362,"http://interbahisgirisadresimiz2.blogspot.com",45,38,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0.022222222,0.026315789,0,0,0,0,0,2,0,0,1,0,1,0,2,0,8,8,0,25,25,0,16.5,16.5,0,0,1,0,0,0,0,14,0.071428571,0.928571429,0,0,0,0.846153846,0,0.615384615,0,1,0,0,0,0,0,0,0,14.28571429,0,0,0,1,0,0,374,7295,0,0,1,5,1
"23",6941,"http://www.unitedbankofindia.com/uploads/e-bankFAQs.pdf",55,25,0,3,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,6,3,1,3,1,17,17,8,6.5,10,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2711,7516,38038,0,0,4,0
"24",2333,"http://www.newyorkcity.ru/path-%D0%BD%D1%8C%D1%8E-%D0%B4%D0%B6%D0%B5%D1%80%D1%81%D0%B8-%D0%B8-%D0%BC%D0%B0%D0%BD%D1%85%D1%8D%D1%82%D1%82%D0%B5%D0%BD/",149,18,0,2,4,0,0,0,0,0,0,0,38,4,0,1,0,0,0,0,1,0,0,0,1,0.261744966,0,0,0,0,0,0,2,0,1,0,0,0,0,41,3,2,3,2,11,11,4,2.292682927,7,2.051282051,0,0,0,0,0,0,37,0.783783784,0.216216216,0,1,0,0.125,0,0,0,1,72.72727273,0,92.85714286,7.142857143,0,0,0,50,0,0,0,0,0,0,227,6348,2869931,1,1,2,0
"25",6101,"http://www.filmandfriends.com/",30,22,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,14,14,0,8.5,8.5,0,0,0,0,0,0,0,19,0.210526316,0.789473684,0,0,0,0.6,0,0,0,0,100,0,0,0,0,0,0,6.25,0,0,0,0,0,0,225,1967,7158525,0,0,2,0
"26",11129,"http://ansi.simply-winspace.it/alza/alza/oapp/p/KDJFKDJFDKFJ49854958/edit/index.php",83,23,1,3,1,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,1,0.096385542,0,0,0,1,0,0,3,1,0,0,0,0,0,11,1,1,4,1,20,8,20,5.727272727,6,5.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,272,3381,0,0,1,0,1
"27",9820,"http://www.mamapics.com/pt/",27,16,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,2,3,2,8,8,2,4.333333333,5.5,2,0,0,0,0,0,0,716,0.660614525,0.339385475,0,1,0,0,0,0,0,1,98.57142857,0,0,100,0,0,0,0,0,0,0,1,1,0,124,1703,1095998,0,0,1,0
"28",11314,"http://67.199.68.195/nosmoke.htm",32,13,1,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.3125,0.769230769,0,0,1,1,1,3,0,0,0,0,0,0,10,2,2,2,2,7,3,7,3,2.5,3.333333333,0,0,0,0,0,2,53,0.962264151,0.037735849,0,0,0,0,0,0,0,0,80,0,100,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,1,0,0,1
"29",4762,"http://www.indeed.com/cmp/Automation-Personnel-Services",55,14,0,2,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,6,5,3,3,3,10,6,10,6.5,4.5,7.5,0,0,0,0,0,0,115,0.739130435,0.260869565,0,2,0,0.033333333,0,0.066666667,0,1,43.47826087,0,66.66666667,33.33333333,0,0,0,50,0,0,0,0,0,0,248,8151,132,0,0,6,0
"30",33,"http://xh167894743.el.r.appspot.com/",36,28,1,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.25,0.321428571,0,0,0,0,0,3,0,0,1,0,0,0,4,1,1,1,0,11,11,0,5.25,5.25,0,0,0,0,0,0,0,21,0.19047619,0.80952381,0,1,0,0.294117647,0,0,0,1,0,0,20,80,0,0,0,25,0,0,0,1,1,0,217,5627,0,0,1,5,1
"31",1671,"http://www.fogscreen.com/",25,17,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,4,3,3,0,9,9,0,6,6,0,0,0,0,0,0,0,15,0.466666667,0.533333333,0,0,0,0.125,0,0.125,0,0,66.66666667,0,0,100,0,0,0,50,0,0,0,0,1,0,197,6378,0,0,0,4,0
"32",946,"http://www.crockerpark.com/",27,19,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,3,3,3,0,11,11,0,7,7,0,0,0,0,0,0,0,54,0.574074074,0.425925926,0,2,0,0.217391304,0,0.043478261,0,1,60,0,50,50,0,0,0,17.64705882,0,0,0,1,1,0,161,6646,3833065,0,0,4,0
"33",10564,"https://alexandraverney.co.uk/view/inc",38,21,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,3,15,3,15,15,4,7.333333333,15,3.5,1,0,0,0,0,0,7,0.857142857,0.142857143,0,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,0,402,2520,0,0,1,0,1
"34",1117,"http://sharepntonline.oa.r.appspot.com/linkedrecruiter.html",59,31,0,5,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,6,1,1,1,4,15,14,15,7.166666667,6,9.5,0,0,0,0,0,0,22,0.181818182,0.818181818,0,1,0,0.277777778,0,0,0,1,0,0,16.66666667,83.33333333,0,0,0,25,0,0,0,1,1,0,217,5627,6517773,0,1,5,1
